AoA,CL_CFD,CD_CFD,CL_PM,CD_PM
19.0,,,2.412569964710732,0.047709999999999995
20.0,0.6749269901708662,0.2247111122708942,2.5222322358339473,0.052
21.0,,,2.6318945069571624,0.05651
22.0,,,2.741556778080377,0.06124
23.0,,,2.8512190492035923,0.06618999999999998
24.0,,,2.960881320326808,0.07136
25.0,0.8043466652749269,0.3325608415242781,3.0705435914500225,0.07674999999999998
30.0,0.9093266739736605,0.4574999999999999,,
35.0,0.9866772518252038,0.5957323745900398,,
40.0,1.0340481406628184,0.7430578445414358,,
45.0,1.05,0.8949999999999998,,
50.0,1.0340481406628184,1.046942155458564,,
55.0,0.9866772518252039,1.19426762540996,,
60.0,0.9093266739736606,1.3324999999999998,,
65.0,0.8043466652749269,1.4574391584757218,,
70.0,0.6749269901708664,1.5652888877291056,,
75.0,0.5249999999999999,1.652772228311384,,
80.0,0.3591211504919523,1.7172310431876696,,
85.0,0.18233058655027679,1.756706783885682,,
90.0,1.285879139104721e-16,1.77,,
95.0,-0.182330586550277,1.756706783885682,,
100.0,-0.3591211504919521,1.7172310431876696,,
105.0,-0.5250000000000001,1.652772228311384,,
110.0,-0.6749269901708662,1.5652888877291058,,
115.0,-0.8043466652749268,1.4574391584757223,,
120.0,-0.9093266739736603,1.3325000000000002,,
125.0,-0.9866772518252039,1.1942676254099598,,
130.0,-1.0340481406628184,1.046942155458564,,
135.0,-1.05,0.8950000000000002,,
140.0,-1.0340481406628186,0.7430578445414363,,
145.0,-0.9866772518252038,0.5957323745900396,,
150.0,-0.9093266739736605,0.4574999999999999,,
155.0,-0.804346665274927,0.33256084152427823,,
160.0,-0.6749269901708665,0.22471111227089438,,
165.0,-0.5250000000000005,0.1372277716886164,,
170.0,-0.35912115049195203,0.07276895681233012,,
175.0,-0.18233058655027692,0.03329321611431796,,
180.0,-2.571758278209442e-16,0.02,,
