Name,Country,First_flight,Propulsion,Engines,MTOW_kg,Empty_kg,Wingspan_m,WingArea_m2,Length_m,Power_kW,Thrust_kN,MaxSpeed_kmh,Ceiling_m,Range_km
Grumman F-14D Tomcat,USA,1970,jet,2,33720,19838,19.55,54.50,19.13,,246.0,2485,16150,2960
Northrop F-5E Tiger II,USA,1972,jet,2,11214,4349,8.13,17.28,14.45,,44.4,1740,15800,1405
McDonnell Douglas F-15C Eagle,USA,1972,jet,2,30845,12700,13.05,56.50,19.43,,211.4,2655,20000,4600
General Dynamics F-16C Fighting Falcon,USA,1974,jet,1,19187,8570,9.96,27.87,15.06,,129.0,2120,15240,4220
Mikoyan MiG-29,USSR,1977,jet,2,18000,11000,11.36,38.06,17.32,,163.2,2400,18000,1430
Sukhoi Su-27,USSR,1977,jet,2,30450,16380,14.70,62.04,21.94,,245.2,2500,19000,3530
McDonnell Douglas F/A-18C Hornet,USA,1978,jet,2,23540,10455,12.31,38.00,17.07,,158.4,1915,15240,3330
Dassault Mirage 2000C,France,1978,jet,1,17000,7500,9.13,41.00,14.36,,95.1,2340,17060,3335
Dassault Rafale C,France,1986,jet,2,24500,10300,10.90,45.70,15.30,,150.0,1912,15240,3700
Saab JAS 39C Gripen,Sweden,1988,jet,1,14000,6800,8.40,30.00,14.10,,80.5,2130,15240,3200
Eurofighter Typhoon,Europe,1994,jet,2,23500,11000,10.95,51.20,15.96,,180.0,2495,19812,2900
Boeing F/A-18E Super Hornet,USA,1995,jet,2,29937,14552,13.62,46.50,18.31,,195.8,1915,15240,3330
Lockheed Martin F-22A Raptor,USA,1997,jet,2,38000,19700,13.56,78.04,18.92,,312.0,2410,19812,2960
Sukhoi Su-30MKI,Russia,1997,jet,2,38800,18400,14.70,62.00,21.94,,246.0,2120,17300,3000
Lockheed Martin F-35A Lightning II,USA,2006,jet,1,31800,13290,10.70,42.70,15.67,,191.0,1930,15240,2800
Sukhoi Su-57,Russia,2010,jet,2,35000,18500,14.10,78.80,20.10,,294.0,2135,20000,3500
Curtiss P-40E Warhawk,USA,1938,piston,1,3760,2880,11.38,21.92,9.66,858,,580,8800,1100
Bell P-39Q Airacobra,USA,1938,piston,1,3810,2560,10.36,19.79,9.19,895,,605,10700,840
Grumman F4F-4 Wildcat,USA,1937,piston,1,3610,2612,11.58,24.15,8.76,895,,515,10400,1240
Messerschmitt Bf 110C-4,Germany,1936,piston,2,6940,5150,16.25,38.80,12.30,1640,,560,10000,1300
De Havilland Mosquito FB VI,UK,1940,piston,2,10100,6490,16.51,42.18,12.47,2206,,583,8000,1900
Hawker Typhoon Mk IB,UK,1940,piston,1,6010,4445,12.67,25.90,9.73,1685,,663,10700,820
Nakajima Ki-43-II Hayabusa,Japan,1939,piston,1,2925,1910,10.84,21.40,8.92,858,,530,11200,1760
Kawasaki Ki-61 Hien,Japan,1941,piston,1,3470,2630,12.00,20.00,8.94,864,,580,11600,1100
Kawanishi N1K2-J Shiden-Kai,Japan,1943,piston,1,4860,2657,12.00,23.50,9.35,1484,,594,10760,1720
Mitsubishi J2M3 Raiden,Japan,1942,piston,1,3945,2460,10.80,20.05,9.95,1379,,596,11700,1055
Macchi MC.202 Folgore,Italy,1940,piston,1,2940,2350,10.58,16.82,8.85,876,,600,11500,765
Fiat G.55 Centauro,Italy,1942,piston,1,3720,2630,11.85,21.11,9.37,1085,,620,12750,1200
Dewoitine D.520,France,1938,piston,1,2790,2125,10.20,15.97,8.60,690,,560,10250,1250
Yakovlev Yak-9U,USSR,1942,piston,1,3204,2512,9.77,17.15,8.55,1120,,672,10650,675
Lavochkin La-7,USSR,1944,piston,1,3315,2605,9.80,17.56,8.67,1380,,661,10450,665
Mikoyan-Gurevich MiG-3,USSR,1940,piston,1,3350,2699,10.20,17.44,8.25,993,,640,12000,820
Polikarpov I-16 Type 24,USSR,1933,piston,1,1941,1495,9.00,14.50,6.13,820,,489,9700,700
Focke-Wulf Fw 190D-9,Germany,1944,piston,1,4840,3490,10.51,18.30,10.19,1287,,685,12000,835
Focke-Wulf Ta 152H,Germany,1944,piston,1,5220,3920,14.44,23.30,10.71,1287,,760,15100,1200
Supermarine Spitfire Mk XIV,UK,1943,piston,1,3856,2994,11.23,22.48,9.96,1528,,717,13560,740
Grumman F8F-1 Bearcat,USA,1944,piston,1,5873,3207,10.92,22.67,8.61,1567,,678,11800,1780
Hawker Sea Fury FB 11,UK,1944,piston,1,5670,4190,11.69,26.01,10.57,1850,,740,10900,1130
KAI KT-1 Woongbi,South Korea,1991,turboprop,1,2540,1910,10.59,16.01,10.26,708,,574,11580,1333
TAI Hurkus,Turkey,2013,turboprop,1,3500,2450,9.96,,11.17,1193,,574,10577,1478
Air Tractor AT-802U,USA,2008,turboprop,1,7257,3000,18.06,37.25,10.90,1007,,338,7620,2414
Beechcraft T-6C Texan II,USA,1998,turboprop,1,2948,2087,10.19,16.29,10.16,820,,585,9449,1667
Lockheed F-80C Shooting Star,USA,1944,jet,1,7646,3819,11.81,22.07,10.49,,24.0,966,14265,1930
Republic F-84G Thunderjet,USA,1946,jet,1,10586,5033,11.10,24.15,11.60,,24.7,1000,12350,3240
Grumman F9F-5 Panther,USA,1947,jet,1,8492,4603,11.58,23.23,11.84,,27.8,972,13000,2100
De Havilland Vampire FB 5,UK,1943,jet,1,5620,3290,11.58,24.34,9.37,,14.0,882,12200,1960
Dassault Ouragan,France,1949,jet,1,7900,4142,13.20,23.80,10.74,,22.2,940,13000,1000
Dassault Mystere IV,France,1952,jet,1,9500,5875,11.12,32.06,12.85,,34.3,1120,15000,1320
Dassault Super Mystere B2,France,1955,jet,1,10000,6390,10.52,35.00,14.13,,43.2,1195,17000,870
Mikoyan-Gurevich MiG-19S,USSR,1953,jet,2,8832,5172,9.00,25.00,12.54,,63.8,1455,17500,1390
Sukhoi Su-7BM,USSR,1955,jet,1,13570,8370,9.31,34.00,16.80,,94.1,1850,17600,1650
Sukhoi Su-15TM,USSR,1962,jet,2,18000,10874,9.34,36.60,19.56,,140.0,2230,18100,1380
Hawker Siddeley Harrier GR.3,UK,1966,jet,1,11430,5580,7.70,18.68,13.87,,95.6,1180,15600,3425
McDonnell Douglas AV-8B Harrier II,USA,1978,jet,1,14100,6340,9.25,21.37,14.12,,105.9,1085,15240,2200
SEPECAT Jaguar GR.1,UK/France,1968,jet,2,15700,7000,8.69,24.18,16.83,,71.6,1700,14000,3524
Mikoyan-Gurevich MiG-23MLD,USSR,1967,jet,1,17800,10200,13.97,37.35,16.70,,127.5,2500,18500,1950
Mikoyan MiG-31,USSR,1975,jet,2,46200,21820,13.46,61.60,22.69,,304.0,3000,20600,3000
McDonnell F-101B Voodoo,USA,1954,jet,2,23770,13141,12.09,34.19,20.55,,151.2,1825,16700,2450
Convair F-102A Delta Dagger,USA,1953,jet,1,14300,8777,11.61,61.45,20.83,,76.5,1304,16300,2175
Convair F-106A Delta Dart,USA,1956,jet,1,15670,10730,11.67,64.83,21.55,,109.0,2455,17000,2900
Vought F-8E Crusader,USA,1955,jet,1,15420,8090,10.87,32.52,16.61,,80.1,1975,17700,2340
Shenyang J-8II,China,1984,jet,2,17800,9820,9.34,42.20,21.60,,131.8,2300,18000,2200
Chengdu J-10A,China,1998,jet,1,19277,9750,9.75,,16.43,,122.5,2327,18000,1850
PAC JF-17 Thunder,Pakistan/China,2003,jet,1,12700,6586,9.48,24.40,14.93,,84.4,1960,16920,3480
HAL Tejas Mk1,India,2001,jet,1,13500,6560,8.20,38.40,13.20,,84.0,1975,15240,3000
Dassault Mirage F1C,France,1966,jet,1,16200,7400,8.40,25.00,15.30,,70.2,2338,20000,3300
IAI Kfir C2,Israel,1973,jet,1,16500,7285,8.22,34.80,15.65,,79.4,2440,17700,3232
Panavia Tornado F.3,Europe,1979,jet,2,28000,14500,13.91,26.60,18.68,,161.0,2400,15240,4265
Sukhoi Su-33,Russia,1987,jet,2,33000,18400,14.70,67.80,21.19,,251.0,2300,17000,3000
Sukhoi Su-35S,Russia,2008,jet,2,34500,19000,15.30,62.00,21.90,,284.0,2400,18000,3600
Mitsubishi F-2A,Japan,1995,jet,1,22100,9527,11.13,34.84,15.52,,131.2,2120,18000,4000
KAI T-50 Golden Eagle,South Korea,2002,jet,1,12300,6470,9.45,23.69,13.14,,78.7,1837,14630,1851
Yakovlev Yak-130,Russia,1996,jet,2,10290,4600,9.84,23.52,11.49,,49.0,1060,12500,2100
Chengdu J-20,China,2011,jet,2,37000,17000,13.01,73.00,20.40,,294.0,2100,20000,5500
Saab JAS 39E Gripen,Sweden,2017,jet,1,16500,8000,8.60,32.00,15.20,,98.0,2130,16000,4000
Boeing F-15E Strike Eagle,USA,1986,jet,2,36700,14300,13.05,56.50,19.43,,258.0,2655,18200,3900
Avro Canada CF-105 Arrow,Canada,1958,jet,2,31117,22245,15.24,113.80,23.71,,209.0,2453,16150,
